 20.3 1 499 320 345
 26.7 2 185 177 346
 19.5 2 359 31 347
 22.2 2 108 1763 348
 17.3 1 128 1615 349
 18.1 2 76 1841 350
 25.6 2 486 108 351
 20.6 2 284 256 352
 17.3 1 483 402 353
 16.3 2 496 547 354
 21.8 2 347 672 355
 18.5 2 485 526 356
 22.3 2 163 386 357
 17.4 1 379 236 358
 18.7 1 481 87 359
 21.2 2 277 1489 360
 20.6 1 58 1633 361
 19.7 1 120 1782 362
 20.2 1 36 44 363
 19.8 2 277 195 364
 16.3 1 427 1028 365
 22.8 2 502 883 366
 19 1 473 741 367
 15.9 1 482 592 368
 21.7 2 277 443 369
 18.7 1 212 1138 370
 24.2 2 185 1280 371
 18.9 2 127 1426 372
 16.4 2 503 1576 373
 16.9 2 469 1721 374
 15 1 351 1379 375
 20.5 2 422 1235 376
 19.4 2 422 1094 377
 17.8 1 241 946 378
 18.4 2 349 800 379
 15.9 1 141 786 380
 16.3 1 388 931 381
 21.8 2 497 1079 382
 18.5 1 230 1222 383
 17 2 347 1366 384
 19 1 474 1734 385
 14.8 1 460 1442 387
 17.2 1 498 1299 388
 17.1 1 128 1153 389
 17 1 489 430 390
 17.2 2 495 578 391
 14 1 490 725 392
 22.7 2 428 868 393
 17.7 1 501 1010 394
 22.1 2 218 208 395
 17 1 492 60 396
 20.1 1 350 1798 397
 25.1 2 477 1654 398
 16 1 211 1511 399
 18.7 2 359 937 400
 18.7 1 35 1084 401
 14.7 2 485 1226 402
 16 1 460 1371 403
 17.5 1 306 1527 404
 21.1 2 218 1583 405
 20.5 2 496 1437 406
 23.4 2 209 1292 407
 19.3 2 349 1148 408
 15.5 1 474 1000 409
 16.7 1 212 583 410
 15.4 1 211 730 411
 18.5 1 219 872 412
 24 1 420 1015 413
 16.5 1 484 1168 414
 17.6 1 141 53 415
 22.6 2 502 1792 416
 23.8 2 497 1647 417
 16.8 1 241 1503 418
 17.6 1 493 1355 419
 16.6 1 120 227 420
 23.5 2 98 376 421
 18.4 2 208 514 422
 26.1 2 125 658 423
 20.9 2 478 814 424
 21.4 2 87 411 425
 19.7 2 370 121 427
 19.2 1 379 1855 428
 18.5 1 351 1710 429
 18.8 2 13 1755 430
 23.8 2 2 22 431
 16.4 2 469 166 432
 20.3 1 473 306 433
 21.7 2 472 458 434
 18.3 2 24 768 435
 18.3 2 496 621 436
 20.7 2 488 473 437
 18 1 499 325 438
 13.1 2 470 182 439
 21 2 508 1403 440
 17.9 1 35 1558 441
 21.9 2 408 1696 442
 18.6 1 499 1836 443
 12.8 1 425 102 444
 14.4 1 507 1117 445
 15.5 1 507 973 446
 18.1 1 498 677 448
 13.5 2 469 531 449
 19.6 2 417 1058 450
 28.6 2 428 1204 451
 15.4 1 501 1343 452
 18 2 423 1484 453
 25.6 2 428 1628 454
 17.4 1 507 1462 455
 17.3 1 427 1324 456
 18.7 1 379 1180 457
 19.1 2 488 1031 458
 20 2 359 886 459
 16 1 130 706 460
 18.3 1 352 852 461
 19.1 1 44 990 462
 26.3 2 185 1133 463
 18.6 1 460 1275 464
 19.2 1 207 1812 465
 16.3 2 128 1676 466
 14.4 1 498 1536 467
 18.1 1 492 1382 468
 23.3 2 359 1238 469
 23.9 2 98 359 470
 15.7 1 483 496 471
 15.3 2 252 635 472
 18.5 1 207 783 473
 13.4 1 130 928 474
 21.5 2 284 281 475
 17.6 1 507 146 476
 20.9 2 276 3 477
 16.1 1 207 1737 478
 21.5 2 338 1590 479
 19.7 2 210 8 480
 18 2 479 150 481
 17.2 1 514 284 482
 16 1 490 428 483
 20.7 2 347 575 484
 19.8 2 472 633 485
 16 1 295 493 486
 19.6 2 98 355 487
 20.3 2 370 211 488
 16.2 2 469 63 489
 19.9 2 276 1540 490
 15.8 1 130 1680 491
 15.8 1 295 1815 492
 19 2 495 74 493
 24.2 2 347 221 494
 16.9 1 152 987 495
 22.2 2 508 848 496
 15.8 1 491 703 497
