 20.3 1.45443 1 499 320 345
 26.7 1.13901 2 185 177 346
 19.5 1.33243 2 359 31 347
 22.2 0.92849 2 108 1763 348
 17.3 1.42519 1 128 1615 349
 18.1 0.384847 2 76 1841 350
 25.6 2.06488 2 486 108 351
 20.6 1.59988 2 284 256 352
 17.3 1.11917 1 483 402 353
 16.3 0.815969 2 496 547 354
 21.8 1.73226 2 347 672 355
 18.5 0 2 485 526 356
 22.3 1.03688 2 163 386 357
 17.4 2.19321 1 379 236 358
 18.7 1.34323 1 481 87 359
 21.2 0 2 277 1489 360
 20.6 1.85495 1 58 1633 361
 19.7 0.83553 1 120 1782 362
 20.2 0.945294 1 36 44 363
 19.8 0 2 277 195 364
 16.3 0.823025 1 427 1028 365
 22.8 0 2 502 883 366
 19 1.58867 1 473 741 367
 15.9 0.914554 1 482 592 368
 21.7 0 2 277 443 369
 18.7 0 1 212 1138 370
 24.2 1.69934 2 185 1280 371
 18.9 1.3965 2 127 1426 372
 16.4 0.529596 2 503 1576 373
 16.9 1.15234 2 469 1721 374
 15 1.23397 1 351 1379 375
 20.5 1.68682 2 422 1235 376
 19.4 1.41213 2 422 1094 377
 17.8 0.685436 1 241 946 378
 18.4 1.24466 2 349 800 379
 15.9 0.874333 1 141 786 380
 16.3 1.07634 1 388 931 381
 21.8 1.46408 2 497 1079 382
 18.5 1.59387 1 230 1222 383
 17 1.52043 2 347 1366 384
 19 1.31146 1 474 1734 385
 14.8 0.922993 1 460 1442 387
 17.2 1.51011 1 498 1299 388
 17.1 0.677087 1 128 1153 389
 17 0.89771 1 489 430 390
 17.2 0 2 495 578 391
 14 0.946321 1 490 725 392
 22.7 1.66939 2 428 868 393
 17.7 1.31855 1 501 1010 394
 22.1 1.796 2 218 208 395
 17 0.315956 1 492 60 396
 20.1 1.29391 1 350 1798 397
 25.1 1.82716 2 477 1654 398
 16 1.49244 1 211 1511 399
 18.7 1.1206 2 359 937 400
 18.7 0.910075 1 35 1084 401
 14.7 0.24122 2 485 1226 402
 16 0.417944 1 460 1371 403
 17.5 0.808764 1 306 1527 404
 21.1 0.862244 2 218 1583 405
 20.5 1.46873 2 496 1437 406
 23.4 1.18568 2 209 1292 407
 19.3 1.4434 2 349 1148 408
 15.5 1.16462 1 474 1000 409
 16.7 1.46586 1 212 583 410
 15.4 1.00088 1 211 730 411
 18.5 -0.558019 1 219 872 412
 24 1.32654 1 420 1015 413
 16.5 1.14575 1 484 1168 414
 17.6 0.739317 1 141 53 415
 22.6 0 2 502 1792 416
 23.8 0.575903 2 497 1647 417
